PHD_fiction,PHD_science,PHD_mixed,PHD_mixed_gt_both,PHD_mixed_embed
9.205201173522724,7.930929013264345,7.945531386489728,0,7.822554869913103
5.723468708277414,8.112122755179799,6.361808112149529,0,6.3051454775874864
7.410362990435121,8.725124524227478,7.429178299384898,0,7.301255670388623
9.89489847750074,8.441030323664165,8.332406600744747,0,7.998018063603605
6.447833471063849,8.545559390732155,7.684316077021434,0,7.584953308279025
10.064727379962406,8.397688545581378,8.630373097230084,0,8.276173123135093
9.643528641725275,7.205137619100388,8.31105211587774,0,8.449712858610877
9.411531037165696,8.919343172262947,9.08930466223673,0,9.177758395121113
10.042647802538664,8.878239920992968,9.268048402685338,0,9.08701804365756
8.845600669731759,8.42648563377253,8.251792367241453,0,8.372183271109126
9.55044240877794,8.75723443981843,9.507893132089,0,9.230714928814912
10.940874481408455,8.758753315522755,9.058400094477676,0,9.07816419814028
10.37985397042377,7.36254972133276,8.685226582719299,0,8.70109164010975
4.624072468686448,8.152487760790411,6.373265508765789,0,5.960308554382303
9.0697814110398,8.340492039186053,8.47704544265251,0,8.649668993581393
5.338197094423032,8.125749874956744,7.032340689830104,0,7.368893097869904
11.955988816814582,8.884143698259573,9.736401921085974,0,9.686823638452372
11.086831135866664,9.202804983198398,9.424379957254551,0,9.236707768086347
5.410291375745576,7.946033662637027,6.343393269142131,0,6.041623028861856
11.160731306338128,7.726858296408374,9.217565127884988,0,9.444670813045123
9.840803815581808,8.467280516306761,9.220181872154534,0,9.214491324069453
10.270780824193972,8.575329041097362,8.759689904957629,0,8.732136177710752
9.57886823940057,8.8988589203058,9.104231130370607,0,8.948945799172805
9.289501737814891,8.828335995611251,8.911352171984905,0,9.089143483086971
11.022585392753877,8.541408397860117,9.395539141527266,0,9.485697250188483
9.135226870690406,9.001793956850674,8.52033778561749,0,8.672476359718798
9.623631833109451,8.070907392283093,8.377588238932558,0,8.409631681057864
10.01095177268558,9.696835439272864,9.097956014923977,0,9.110049838746573
10.783937391999569,8.34326014005228,9.050377907863195,0,9.01239164953354
11.09057428076513,7.85583548651214,8.63778981541681,0,8.978062132408796
